,term,tfidf,counts,month_yr,term_positive,tfidf_positive,counts_positive,term_neutral,tfidf_neutral,counts_neutral,term_negative,tfidf_negative,counts_negative
16,pas cher prix,0.00458830919516611,90,9-2019,quiet zone,0.005224932109698652,14,st clair,0.004519112593937917,53,raison un,0.0062942986985147055,25
17,line yonge,0.0030923867767671826,71,9-2019,pt ew,0.004870204268675557,17,yonge university,0.003693746553286589,62,en raison un,0.0062942986985147055,25
18,yonge university,0.0030923867767671826,71,9-2019,introducing free,0.0034688108241924974,15,line yonge university,0.003633035789314904,61,raison un probl,0.005354668710459322,20
19,line yonge university,0.0030126864968624415,70,9-2019,ontario introducing,0.0029411125458409662,13,line yonge,0.003633035789314904,61,un probl,0.005354668710459322,20
0,presto card,0.06083245818264757,399,8-2019,presto card,0.04720983220802293,71,presto card,0.06295805607354868,275,presto card,0.0757793871566465,53
1,union station,0.020068870415322473,133,8-2019,good morning,0.02667465765844715,45,union station,0.02071342376303194,95,union station,0.01906158357771261,13
2,good morning,0.011253124509181998,79,8-2019,union station,0.01675728219296501,25,us know,0.011575077681546494,68,sorry inconvenience,0.016566288469923692,15
3,rush hour,0.010704374876100443,76,8-2019,great news,0.014044931479090174,20,naming rights,0.011379871952249892,80,customer service,0.013794242421384923,12
4,naming rights,0.010285270468506068,97,8-2019,rush hour,0.012035969628751045,18,august gobus,0.010685454236165726,47,sun gobus,0.012800927805660724,9
5,lakeshore west,0.009510018912602862,67,8-2019,niagara falls,0.01177445736074389,18,lakeshore west,0.010613105933784967,51,alcohol test,0.012614870250317775,13
6,us know,0.008824178905447743,95,8-2019,us know,0.01135071925626468,25,rush hour,0.010306753571227612,49,new card,0.012143456414807406,13
7,sorry inconvenience,0.008665403799295918,57,8-2019,bringing attention,0.00992958760717095,15,sorry inconvenience,0.009507697748231979,41,naming rights,0.01148579328090554,11
8,kitchener line,0.008020532970708913,53,8-2019,make sure,0.009796728939579986,14,new trips,0.008892207017624257,40,rush hour,0.01132044347685291,9
9,customer service,0.0077119378396931625,53,8-2019,long weekend,0.009722207834643804,15,lakeshore east,0.00845712405898353,40,milton line,0.010578336023917306,8
10,august gobus,0.00752525608736027,49,8-2019,customer service,0.009262874011654574,14,kitchener line,0.008378554339201563,38,apologize inconvenience,0.009855917168638534,7
11,milton line,0.007258829004382362,48,8-2019,thank hm,0.00912117448377907,13,news gobus,0.007917871446039596,35,driver failed,0.009224581827275374,10
12,lakeshore east,0.006978989251887589,49,8-2019,good news,0.008069685112657364,12,quiet zone,0.007440305048676322,36,fire near,0.007985934064370452,6
13,quiet zone,0.006942281011758394,49,8-2019,safety team,0.007508432628939809,12,sorry discomfort,0.007411057885983924,36,inconvenience hm,0.007940363574943987,9
14,let us,0.005433240907639795,47,8-2019,letting us,0.007038149171724168,18,let us,0.005092494670723519,38,la gare,0.007331378299120235,11
15,letting us,0.004759789083386574,51,8-2019,letting us know,0.007038149171724168,18,naming rights stations,0.004892691901378323,40,sorry inconvenience hm,0.007065131864866193,8
16,letting us know,0.004759789083386574,51,8-2019,happy hear,0.006950229713714445,12,rights stations,0.004892691901378323,40,selling naming,0.006072729531699678,7
17,sell naming,0.00437251512380256,45,8-2019,rest day,0.00547473673690404,13,let us know,0.004877033537136627,36,selling naming rights,0.006072729531699678,7
18,naming rights stations,0.004039768478282762,46,8-2019,enjoy rest,0.005265788192003417,13,sell naming,0.0048716441268608435,40,duty driver,0.005725736885402798,7
19,rights stations,0.004039768478282762,46,8-2019,enjoy rest day,0.004802961084136292,12,sell naming rights,0.0048716441268608435,40,removes duty,0.004772379591020013,6
0,presto card,0.06104010548255727,399,7-2019,presto card,0.044116179119876864,61,presto card,0.06498041649302215,288,presto card,0.06139371730052457,50
1,union station,0.01609268725682685,116,7-2019,good morning,0.02079951211285966,34,union station,0.017126406858431344,85,sorry inconvenience,0.02181386200382861,18
2,sorry inconvenience,0.009976440429851664,79,7-2019,union station,0.016018612423086883,21,ontario line,0.011865665981478528,54,customer service,0.014138817480719795,11
3,us know,0.009879923383151102,135,7-2019,us know,0.014776679979124123,40,sorry inconvenience,0.010220444060045112,60,lakeshore west,0.014138817480719795,11
4,ontario line,0.009228727866788217,62,7-2019,thank hm,0.013767033359372257,18,us know,0.009463761487269283,92,lakeshore east,0.010997115444661169,10
5,good morning,0.008679982065103361,62,7-2019,ride free,0.011301933135264666,15,sorry discomfort,0.00913353542520597,52,union station,0.01070441214263979,10
6,customer service,0.008353850409983862,55,7-2019,quiet zone,0.011232830383154216,18,lakeshore east,0.009095565936002322,40,air conditioning,0.010661940372183964,10
7,air conditioning,0.008119344011999596,54,7-2019,great day,0.010954984737106259,18,air conditioning,0.008269515045872694,36,kathleen wynne,0.010282776349614395,8
8,lakeshore east,0.00794185458977571,53,7-2019,letting us,0.010745132490490797,27,report team,0.008099161200346103,48,quiet zone,0.010282776349614395,9
9,sorry discomfort,0.007486788585568756,59,7-2019,letting us know,0.010745132490490797,27,coach number,0.007367670611372529,48,barrie line,0.007712082262210796,6
10,quiet zone,0.007028882391219594,53,7-2019,customer relations,0.010740998496036583,16,customer service,0.007029214666639709,32,hi sorry,0.0070704591122558915,6
11,coach number,0.006935137163584056,62,7-2019,would like,0.010676290214050583,17,reported team,0.0067939847921593315,32,new card,0.006664291249851393,6
12,letting us,0.006741965358720228,83,7-2019,sorry hear,0.010577593194978356,15,letting us,0.006169298275111696,55,monthly pass,0.006368772004220679,6
13,rush hour,0.00672281677661734,46,7-2019,hope helps,0.010219080009287396,14,provide us,0.006080150415515062,35,la gare,0.0033950100099637516,11
14,letting us know,0.006598259921297144,82,7-2019,rush hour,0.009100431712908096,13,letting us know,0.005954393738135506,54,de curit de,0.003131682311567804,7
15,thank hm,0.006591764155762414,50,7-2019,make sure,0.008707002463504117,13,thank hm,0.005495232195766409,31,de curit,0.003131682311567804,7
16,report team,0.006406327897377709,56,7-2019,mount pleasant,0.008566020781172176,12,let us,0.00525915070093377,41,curit de,0.003131682311567804,7
17,let us,0.005164771622312478,58,7-2019,let us,0.006549768703020112,14,let us know,0.00483167173359017,38,en raison,0.0024467851799622195,6
18,let us know,0.0046362470883239155,53,7-2019,let us know,0.00606423162924022,13,thanks letting,0.003393278163384266,32,gare union,0.00212391921771191,7
19,thanks letting,0.0036333975173809285,44,7-2019,thank letting,0.005345250717161629,13,thanks letting us,0.003393278163384266,32,la gare union,0.00212391921771191,7
0,presto card,0.06427240081132331,428,6-2019,presto card,0.060830068270156815,100,presto card,0.06490237670595717,281,presto card,0.06667269390409775,47
1,union station,0.021155849790451077,152,6-2019,good morning,0.0235765291727928,42,union station,0.02156801958661071,109,union station,0.01593750711755609,12
2,rush hour,0.011859980584573895,81,6-2019,great day,0.01850153717400969,40,lakeshore west,0.013711120289903896,63,sorry inconvenience,0.014643448982647106,12
3,lakeshore west,0.011722185328671284,81,6-2019,union station,0.017081155501762136,31,rush hour,0.011170128437175901,51,customer service,0.013565664176678606,10
4,good morning,0.01112949642380412,79,6-2019,thank hm,0.014066752535401905,24,us know,0.009528560131179458,58,rush hour,0.013392857142857142,9
5,sorry hear,0.009516382065441403,64,6-2019,rush hour,0.013179727564312963,21,sorry hear,0.008682761079667723,41,milton line,0.012497698864659302,9
6,thank hm,0.007712536070958943,54,6-2019,customer service,0.011322871964172478,21,lakeshore east,0.008279948824261993,38,apologize inconvenience,0.010028831772086402,7
7,customer service,0.00759313791406689,54,6-2019,sorry hear,0.010881616640162977,19,good morning,0.007395326735364435,33,extra trains,0.007052603611518584,6
8,extra trains,0.007576159056351597,54,6-2019,would like,0.010357971289085442,18,extra trains,0.00734325084823659,34,time depart,0.006504329486198741,7
9,us know,0.006782295461981404,87,6-2019,home safely,0.0101877791164039,21,phil verster,0.006227544910179645,26,may get,0.005586575955287084,6
10,lakeshore east,0.006575230896512216,45,6-2019,make sure,0.009773655228694432,19,thank hm,0.0061717967499355115,29,coach hm,0.005586575955287084,6
11,phil verster,0.006426332288401248,41,6-2019,us know,0.009374315784564604,28,uncomfortable ride,0.005981917096278313,28,dougford pcpo,0.004265175832970593,8
12,great day,0.005518010767734461,41,6-2019,get home,0.009211414146117305,18,hi sorry,0.005389725198726541,28,corruption fraud,0.004265175832970593,8
13,sorry inconvenience,0.005392052749918757,39,6-2019,customer relations,0.009080305397104594,19,coach number,0.005275076454702507,35,fraud bribery,0.003616930206875018,7
14,quiet zone,0.005193119552777014,40,6-2019,service updates,0.008493590487042218,17,last night,0.005149328412961557,25,bribery prostitution,0.003616930206875018,7
15,let us,0.004065439782830059,45,6-2019,letting us know,0.006551175376828656,22,customer service,0.005116457292723605,23,corruption fraud bribery,0.003616930206875018,7
16,letting us know,0.0040578004587853555,46,6-2019,letting us,0.006551175376828656,22,let us,0.004985565191038025,37,fraud bribery prostitution,0.003616930206875018,7
17,letting us,0.0040578004587853555,46,6-2019,day nf,0.006476547865805544,19,quiet zone,0.004918701137804856,24,privatization eglintoncrosstown,0.003389686133447188,6
18,coach number,0.003875581006949897,38,6-2019,great day nf,0.005880177754168899,18,station terminal,0.004373148186508182,24,snclavalin yearmaintenanceagreement corruption,0.003389686133447188,6
19,let us know,0.003431720987440107,40,6-2019,thank letting,0.0051007157061629445,17,let us know,0.004328570654621538,34,eglintoncrosstown lrt,0.0031672467065382353,6
0,presto card,0.07724580422518079,419,5-2019,presto card,0.0661838703114515,83,presto card,0.0815733910725598,287,presto card,0.08556149732620327,49
1,union station,0.014468163769756195,82,5-2019,good morning,0.01783100439977805,24,union station,0.015204708264173306,57,customer service,0.019607843137254895,11
2,sorry hear,0.010424289311744656,56,5-2019,great day,0.017168018970135424,25,sorry hear,0.011312489662550817,41,lakeshore east,0.017825311942958996,10
3,customer service,0.010055236701571572,56,5-2019,us know,0.014967209091950246,29,lakeshore west,0.00895631330692681,31,medical emergency,0.016042780748663096,9
4,us know,0.008792008866090118,76,5-2019,customer service,0.014873460443778042,19,fare evasion,0.008650852834046424,31,rush hour,0.014260249554367197,8
5,rush hour,0.008090545937164866,45,5-2019,union station,0.013220713098868467,18,lakeshore east,0.008536944362672952,29,barrie line,0.012477718360071298,7
6,lakeshore east,0.007960307927824595,43,5-2019,day jl,0.010666082536519376,17,us know,0.0072805029883311915,45,la gare,0.005625990333614851,14
7,fare evasion,0.007636061688807882,41,5-2019,sorry hear,0.010281937494584724,14,rush hour,0.007222344105564059,26,te de,0.003671372777274071,8
8,good morning,0.006919684306391239,39,5-2019,maintenance facility,0.010262021716347812,13,customer service,0.007020699792925363,26,enqu te,0.003671372777274071,8
9,lakeshore west,0.006866069938738498,36,5-2019,letting us know,0.009906455219024697,21,dougford pcpo,0.006476302619958791,22,enqu te de,0.003671372777274071,8
10,quiet zone,0.005616520339054167,31,5-2019,letting us,0.009906455219024697,21,quiet zone,0.005989629293787601,22,la gare union,0.003635752129171308,9
11,monthly pass,0.00546344405675855,32,5-2019,hope helps,0.009837564717028995,13,eglinton crosstown,0.005848688976232294,22,gare union,0.003635752129171308,9
12,town hall,0.005199301062298005,28,5-2019,thank feedback,0.009648872153681114,14,service guarantee,0.0055145113390787075,21,de curit de,0.003405114988084149,7
13,great day,0.005090380829576153,28,5-2019,enjoy rest,0.00894746820605686,13,coach number,0.005407937884331052,21,te de curit,0.003405114988084149,7
14,letting us know,0.0050313744028701885,53,5-2019,thank much,0.008678142547855455,12,letting us,0.004552478761144217,32,en raison une,0.002947601166923524,7
15,letting us,0.0050313744028701885,53,5-2019,rush hour,0.008417589081075056,11,letting us know,0.004552478761144217,32,en raison,0.002947601166923524,7
16,thank letting,0.003014184552505863,33,5-2019,comment form,0.007867911863105242,13,thank letting,0.003161968834029299,23,raison une,0.002947601166923524,7
17,thank letting us,0.003014184552505863,33,5-2019,phil verster,0.007344660829142714,14,thank letting us,0.003161968834029299,23,de minutes,0.002947601166923524,7
18,corrupt corrupt,0.0001400234822412824,33,5-2019,ceo phil verster,0.005784299904913609,12,corrupt corrupt,0.0002113336454080232,33,vers la,0.002947601166923524,7
19,corrupt corrupt corrupt,0.000135780346415789,32,5-2019,ceo phil,0.005784299904913609,12,corrupt corrupt corrupt,0.00020492959554717406,32,vers la gare,0.002947601166923524,7
0,presto card,0.07545053286272854,479,4-2019,presto card,0.056606720575086006,94,presto card,0.08183279896494966,322,presto card,0.08434673481499988,63
1,union station,0.016261583659208545,104,4-2019,union station,0.018724219113177547,31,union station,0.015738270708941227,63,customer service,0.025695155737645636,22
2,customer service,0.01201779859294392,78,4-2019,fare increase,0.014868079425299427,43,customer service,0.009065272760567233,36,rush hour,0.013595166163141992,10
3,fare increase,0.011256083475840024,75,4-2019,customer service,0.012741731478988445,20,lakeshore east,0.008683840371949029,35,union station,0.01211611434225595,10
4,good morning,0.008581455577528183,54,4-2019,good morning,0.012489944176627748,22,good morning,0.008101017378135643,31,credit card,0.011247274013722308,10
5,rush hour,0.0076711456878961505,48,4-2019,day jl,0.011074047332870497,19,town hall,0.007628627037975013,29,lakeshore east,0.010574018126888216,7
6,lakeshore east,0.007584915601952948,48,4-2019,us know,0.010568396431957694,23,fare increase,0.0075029490109824026,30,phil verster,0.009777836626355183,10
7,sorry hear,0.007487272566836927,48,4-2019,credit card,0.010273884066297749,18,sorry hear,0.007304860324073577,30,last month,0.009318475014463633,8
8,credit card,0.006500784261564283,44,4-2019,rush hour,0.010218329730042898,17,topoli onpoli,0.006120158012269509,23,parking lot,0.009063444108761328,6
9,short trips,0.005866346526788595,35,4-2019,great day,0.009186519718756747,17,rush hour,0.005628234154819103,21,new card,0.008903340762468629,8
10,phil verster,0.005838964742107305,38,4-2019,letting us,0.00736528118600459,17,hi sorry,0.004982600178697184,20,ceo phil,0.008393561175776061,9
11,town hall,0.005786468793363056,38,4-2019,services future,0.005607966937689848,23,short trips,0.004943442904669989,27,barrie line,0.007552870090634441,5
12,us know,0.005250269271946747,49,4-2019,grown services,0.00544102439281831,23,short distance,0.004762568754798173,24,loaded card,0.007341315406238627,5
13,topoli onpoli,0.005120602600140316,31,4-2019,working hard,0.004994144370209015,22,us know,0.004434175990988531,26,forced pay,0.007341315406238625,5
14,april th,0.005031233439147436,33,4-2019,better services,0.004803953968382097,22,fares short,0.00432751655501892,28,sorry inconvenience,0.007110433204209286,5
15,long distance,0.004320786353959771,32,4-2019,hard bring,0.004381901337584719,21,long distance,0.004302282312814017,21,ceo phil verster,0.007022603746674573,8
16,short distance,0.004190015620950841,32,4-2019,better services future,0.004381901337584719,21,letting us,0.003687846620822681,23,lost card,0.006925609537027387,6
17,richmond hill,0.004038675675643473,30,4-2019,even better services,0.004381901337584719,21,letting us know,0.003440937552941159,22,police investigation,0.006716831820625137,5
18,letting us,0.003936471364980572,40,4-2019,even better,0.004381901337584719,21,customers travel,0.0032520325203252032,23,card presto,0.006118047341042232,5
19,letting us know,0.0037823347780655365,39,4-2019,working hard bring,0.004381901337584719,21,fares short trips,0.0032350574177976077,20,lost found,0.0041720876207516164,5
0,presto card,0.06402829235428852,493,3-2019,presto card,0.042907159357426054,85,presto card,0.07143212400623329,339,presto card,0.07051050435619247,69
1,union station,0.013353258926077853,110,3-2019,ride free,0.03426417725304912,99,union station,0.014015301572123834,73,customer service,0.021769124380304927,22
2,ride free,0.011165754896110219,117,3-2019,kids ride,0.02223307458328876,73,new station,0.011101042138649752,49,union station,0.013927324634369978,16
3,customer service,0.00921004499609068,71,3-2019,kids ride free,0.018546056393216,64,town hall,0.007442890350047402,33,lakeshore east,0.010583130632185515,11
4,good morning,0.008366296574524978,62,3-2019,good morning,0.014397773217389914,28,rush hour,0.007147547000450468,33,apologize inconvenience,0.010531116045095143,11
5,new station,0.008318060059213307,60,3-2019,us know,0.012644082796772822,35,good morning,0.007009251136595502,32,monthly pass,0.010107955820836291,10
6,rush hour,0.007115484396221161,54,3-2019,march break,0.012012041607083216,34,customer service,0.00683239308713118,33,every day,0.00935542711544591,10
7,kids ride,0.007059236670055975,84,3-2019,union station,0.009910386709436931,21,day service,0.006515867513758672,33,rush hour,0.009011143012344956,9
8,us know,0.006434391515117579,69,3-2019,kids free,0.009579166928362085,18,onpoli topoli,0.006116900770276394,27,prestocard worst,0.008152867727518312,8
9,lakeshore east,0.005630699587653195,43,3-2019,great day,0.009530417867724303,19,monthly pass,0.006000954903123312,31,sorry inconvenience,0.007869134485025723,8
10,day service,0.005583379759848384,43,3-2019,letting us,0.00922973202612091,28,hurontario lrt,0.0058903488898957865,26,ttchelps prestocard,0.007476092291713801,7
11,kids ride free,0.005556079040164521,71,3-2019,letting us know,0.00872202695241078,27,lakeshore east,0.0057081074125149706,27,new card,0.007084229310342578,7
12,monthly pass,0.0054663978227733724,44,3-2019,march th,0.00852482982162642,25,parking lot,0.005437245129134572,25,many people,0.0066794129989024825,7
13,town hall,0.005441567043099179,39,3-2019,customer service,0.008351764979635906,16,sorry delay,0.004845358494813267,23,minutes late,0.006254241663860597,7
14,service guarantee,0.005413087846627804,43,3-2019,free kids,0.008065860522823622,16,us know,0.004822091123002913,33,la gare,0.004430295805616923,13
15,every day,0.005024318667846354,40,3-2019,service guarantee,0.008012568291417596,17,service guarantee,0.0045808615542397395,22,enqu te,0.0025875460634550065,7
16,march break,0.0047488251327928,45,3-2019,thank much,0.007837001999002086,15,service hamilton,0.004490903434563247,22,de curit de,0.0025875460634550065,7
17,letting us,0.0045641947300344345,54,3-2019,free rides,0.007558285570920931,15,new card,0.004293033624739986,26,de curit,0.0025875460634550065,7
18,letting us know,0.004180882985799809,51,3-2019,starting march,0.006684372765341849,21,letting us,0.0033365734844043697,25,te de,0.0025875460634550065,7
19,new card,0.0039046100746950594,35,3-2019,trains buses,0.006041929452473724,15,letting us know,0.003129904879461856,24,te de curit,0.0025875460634550065,7
0,presto card,0.0684307162469605,553,2-2019,presto card,0.05628958747598829,106,presto card,0.07130293800396519,364,presto card,0.07184912383567922,83
1,union station,0.012368679662968838,100,2-2019,ride free,0.034600597373042226,98,union station,0.012618743222235504,66,kitchener line,0.017364003450379025,20
2,ride free,0.011207345130188735,111,2-2019,good morning,0.023413106239318356,45,kitchener line,0.009572378085905005,46,fare evasion,0.013217488095444417,15
3,kitchener line,0.010404159361048012,80,2-2019,union station,0.014529588504258367,26,service guarantee,0.007516570931043814,44,customer service,0.012967069398937736,14
4,good morning,0.009053232162844036,71,2-2019,auto show,0.012950450450450447,24,monthly pass,0.006835633472823349,39,rush hour,0.01151421987426968,12
5,service guarantee,0.008258997527479979,73,2-2019,great day,0.012815396711968668,25,lakeshore east,0.006816073691845275,35,even though,0.009116205366907042,10
6,rush hour,0.0070076224588691526,57,2-2019,service guarantee,0.012424521250771998,24,rush hour,0.006678714694887124,35,sorry delay,0.008761496533742117,9
7,customer service,0.006754330938694989,55,2-2019,kids ride,0.010729741410166124,44,presto cards,0.005792709624675505,30,delayed minutes,0.008462718401492856,9
8,monthly pass,0.006275334528712093,54,2-2019,kids ride free,0.010729741410166124,44,penalties late,0.0050922978994271135,26,sorry inconvenience,0.008157723996355809,9
9,auto show,0.006042701759097619,46,2-2019,us know,0.010038354746201461,19,customer relations,0.005078424365479518,26,lost presto,0.008027144942845548,12
10,fare evasion,0.005600365691101697,47,2-2019,relief line,0.009009009009009009,18,good morning,0.004998303244621368,25,lost presto card,0.008027144942845548,12
11,lakeshore east,0.00533567129752966,41,2-2019,starting march,0.008520771084366498,31,fare evasion,0.0049681326820279655,26,equipment issue,0.0075043391187028605,8
12,us know,0.005261322966415408,40,2-2019,march th,0.007741211507474179,28,sorry hear,0.004734018144424801,25,last week,0.007326594115460374,9
13,presto cards,0.004872192453582974,40,2-2019,march break,0.0075825764358232245,26,auto show,0.004667939741141521,22,service updates,0.007015521554804378,7
14,relief line,0.004834161407278096,38,2-2019,free starting,0.006037177276069829,19,looks like,0.004599424219266429,23,long branch,0.0069977048052899124,9
15,sorry hear,0.004267115995192189,36,2-2019,families first,0.004796814147115563,21,us know,0.0044557606619987245,21,shit together,0.0068391950062087654,9
16,last week,0.004093240203493343,33,2-2019,putting families,0.004607119547833776,20,customer service,0.004338708383114276,23,lakeshore west,0.0067105210603594576,7
17,please provide,0.0038886399428007114,33,2-2019,putting families first,0.004607119547833776,20,last week,0.00432629918296814,21,union station,0.006148027378913897,8
18,kids ride free,0.003727467636802273,47,2-2019,march th kids,0.004108076192621174,18,police investigation,0.004209679699231314,23,delays kitchener,0.006097417530854862,7
19,kids ride,0.003727467636802273,47,2-2019,th kids,0.004108076192621174,18,new card,0.003879888978781559,22,get shit together,0.004942094937155142,7
0,presto card,0.0668892249942835,776,1-2019,presto card,0.06291430520281263,152,presto card,0.06759249108362804,498,presto card,0.07123044566592125,127
1,kitchener line,0.02550056104393066,295,1-2019,kitchener line,0.02987489879935104,74,kitchener line,0.021307589542090794,156,kitchener line,0.04164685114257663,65
2,union station,0.01375263171566896,171,1-2019,service guarantee,0.017867854114964856,49,union station,0.01579400270603202,129,customer service,0.022422213465160955,36
3,customer service,0.010525302618451892,120,1-2019,good morning,0.016942515721362357,42,rush hour,0.010050459446164717,79,use workers,0.012894689841694913,20
4,rush hour,0.010016627644568125,123,1-2019,customer service,0.013945377660344866,33,monthly pass,0.009860870049650385,80,new schedule,0.01114526642617052,17
5,monthly pass,0.008701201314606185,110,1-2019,new year,0.01298091565498936,30,customer service,0.0069043808665475125,51,rush hour,0.010174375710320397,18
6,service guarantee,0.008523311049786852,102,1-2019,union station,0.012674303818949012,30,service guarantee,0.0067367927590078714,48,lost presto,0.00848841244892253,20
7,good morning,0.0067875693902525154,77,1-2019,us know,0.011212599940475666,45,parking lots,0.006003807292429345,42,new card,0.007903767250135894,16
8,bring back,0.00646213444731768,74,1-2019,thank feedback,0.009315478136610357,39,bring back,0.005987004431010612,44,lost presto card,0.007013842812248854,17
9,us know,0.005685639253318544,95,1-2019,letting us,0.007923632790978007,35,niagara falls,0.005815314861805533,45,ban workers,0.005882661540639582,20
10,new schedule,0.0053992017510672815,60,1-2019,letting us know,0.007653795019399773,34,lakeshore east,0.005813437386289335,43,safety sensitive,0.0056535043170680005,18
11,niagara falls,0.005309801789591275,64,1-2019,important us,0.005795123566020885,32,new schedule,0.005719132553164845,41,workers safety,0.0051526870101920134,16
12,lakeshore east,0.0052276989394833195,60,1-2019,please fill,0.004517191662791346,29,good morning,0.004953242908786604,35,workers safety sensitive,0.0051526870101920134,16
13,cold weather,0.004987603508643077,61,1-2019,customer comment,0.004416405658241206,31,cold weather,0.004881175421849876,38,using pot,0.004920049907079128,18
14,thank feedback,0.0049810467578041365,56,1-2019,fill customer comment,0.004416405658241206,31,sorry hear,0.004878798818855556,36,cannabis workers,0.004822288720348563,15
15,sorry hear,0.0049213159879584805,57,1-2019,fill customer,0.004416405658241206,31,us know,0.004762874852787463,48,ban workers using,0.004641970308327253,18
16,every day,0.004507258817843963,53,1-2019,customer comment form,0.004416405658241206,31,lakeshore west,0.004385837590265201,33,workers using,0.004641970308327253,18
17,new card,0.004080523804822778,55,1-2019,comment form,0.004416405658241206,31,new card,0.00411069822816296,33,pot time,0.004299303073854079,17
18,letting us,0.0036709779543060072,70,1-2019,staff follow,0.004242604786552232,29,letting us know,0.0030076984925588865,35,using pot time,0.004299303073854079,17
19,letting us know,0.003611628404557663,69,1-2019,please fill customer,0.003814263568284724,27,letting us,0.0030076984925588865,35,workers using pot,0.004299303073854079,17
0,union station,0.01830983399397314,84,12-2018,good morning,0.026312464848227322,34,auditor general,0.016207560286553277,60,union station,0.03022447368041987,14
1,new year,0.014298773463333131,65,12-2018,new year,0.02424044309744919,46,union station,0.01439549222153372,41,presto card,0.018735362997658076,9
2,auditor general,0.011627663193562492,67,12-2018,union station,0.022611229804535317,29,kitchener line,0.011376248702712161,34,customer service,0.013312026780431349,6
3,good morning,0.011541975058864675,54,12-2018,merry christmas,0.017072059084929682,22,presto card,0.01094091903719913,32,rush hour,0.011709601873536299,5
4,presto card,0.010898229220696666,53,12-2018,customer service,0.016988675591105784,23,niagara falls,0.010400644794732789,37,negative experience,0.01116531556316242,8
5,onpoli topoli,0.01045043041978095,46,12-2018,thanks kh,0.016839418666098564,23,day service,0.009632932557891848,29,topoli onpoli,0.010332345857498043,5
6,customer service,0.009733523526021554,46,12-2018,would like,0.014975140756864415,24,ontario auditor,0.008903066362300559,38,sorry hear,0.009846532605670063,5
7,kitchener line,0.009149310060699802,44,12-2018,happy holidays,0.014230830003181788,18,us know,0.008657910935306242,26,kitchener line,0.00936768149882904,4
8,would like,0.008387510704982185,40,12-2018,get home,0.013210339475016781,18,onpoli topoli,0.00852976693946384,42,phil verster,0.009020764174280339,7
9,niagara falls,0.008122945712782954,47,12-2018,drink drive,0.01244110468438005,18,west harbour,0.008463518672822768,33,stouffville line,0.008855913996780266,4
10,topoli onpoli,0.008100169940963775,36,12-2018,ride free,0.011408078888445977,19,ontario auditor general,0.007264480072994464,33,service disruption,0.008221865238802842,4
11,day service,0.007288056032340977,35,12-2018,year eve,0.011388517741320945,25,st catharines,0.006805853298092868,25,st catharines,0.007995816305323408,4
12,west harbour,0.007268195106257349,44,12-2018,new year eve,0.011388517741320945,25,dougford pcpo,0.0036862173454335775,28,would need,0.007995816305323408,4
13,us know,0.007154518896137798,45,12-2018,comment form,0.010771272216167728,15,rt bconnolly,0.003431158599367969,26,jan jan,0.00702576112412178,4
